001,008$07:4,100$a,100$c,100$q,100$d,245$a,245$b,250$a,260$a,260$b,260$c,300$a,300$c
"N11388","1760","Cicero, Marcus Tullius.",,,,"M. T. Ciceronis orationes quædam selectæ, cum interpretatione & notis quas in usum serenissimi Delphini edidit P. Carolus Merouille S.J. Quibus præfigitur vita Ciceronis ... His adjiciuntur in tres orationes notæ ... ex Asconio, P. Manutio, ... Huic editioni accesserunt dialogi de senectute & de amicitia.",,"Editio octava, emendatior.","Londini :","impensis J. Clarke, C. Hitch & L. Hawes, J. Rivington, J. Rivington & J. Fletcher, J. Ward, [and 11 others in London],","1760.","[8],xxx,554,[16]p. ","8⁰."
"N11389","1770","Cicero, Marcus Tullius.",,,,"M. T. Ciceronis orationes quædam selectæ, cum interpretatione & notis quas in usum serenissimi Delphini edidit P. Carolus Merouille, S.J. Quibus præfigitur vita Ciceronis ... His adjiciuntur in tres orationes notæ ... ex Asconio, P. Manutio, ... Huic editioni accesserunt dialogi de senectute & de amicitia.",,"Editio nona emendatior.","Londini :","excudebant G. Bowyer & J. Nichols. Impensis J. & F. Rivington, L. Hawes & Co. R. Baldwin, G. Johnston, G. Keith, [and 8 others in London],","1770.","[8],xxx,554,[18]p. ","8⁰."
"N11527","1759","Synge, Edward,",,,"1659-1741.","A plain and easy method, whereby a man of moderate capacity may arrive at full satisfaction in all things that concern his everlasting salvation.","To which is added, a paraphrase on St. Athanasius's Creed. By ... Dr. Edward Synge, ...","The third edition.","London :","printed for John Rivington,","1759.","71,[1]p. ","12⁰."
"N1158","1750","Hamilton, William Gerard,",,,"1729-1796.","Four odes.","I. On sleep. II. On beauty. III. On taste. IV. To the Right Hon. the Lady **** on the death of her son.",,"London :","printed for R. Manby and H. S. Cox on Ludgate-Hill,","MDCCL. [1750] ","[4],43,[1]p. ","4⁰."
"N11585","1719","Mangey, Thomas,",,,"1688-1755.","Plain notions of our Lord's divinity.","Set forth in a sermon preached upon Christmas-Day, at the Royal Chapel of Whitehall. Publish'd at the Request of many of the Audience. By Thomas Mangey, LL. D. Chaplain to the Right Reverend Father in God, John, Lord Bishop of London. ",,"London :","printed for W. and J. Innys, at the Prince's Arms at the West End of St. Paul's Church-Yard,","MDCCXIX. [1719] ","35,[1]p. ","4⁰. "
"N11599","1719","Mangey, Thomas,",,,"1688-1755.","Plain notions of our Lord's divinity:","set forth in a sermon preached upon Christmas-Day, at the Royal Chapel of Whitehall. ... By Thomas Mangey, ... ","The third edition.","London :","printed for W. and J. Innys,","1719. ","35,[1]p. ","8⁰. "
"N11744","1719","Mangey, Thomas,",,,"1688-1755.","Plain notions of our Lord's divinity.","Set forth in a sermon preached upon Christmas-Day, at the Royal Chapel of Whitehall. Publish'd at the Request of many of the Audience. By Thomas Mangey, LL. D. Chaplain to the Right Reverend Father in God, John, Lord Bishop of London. ",,"London :","printed for W. and J. Innys, at the Prince's Arms at the West End of St. Paul's Church-Yard,","MDCCXIX. [1719] ","35,[1]p. ","8⁰. "
"N11806","1767","Cowper, Ashley,",,,"d. 1788.","Poems and translations.","By the author of The progress of physic.",,"London :","printed for W. Sandby, in Fleet-Street,","MDCCLXVII. [1767] ","[3],vi-xv,[1],234p. ","8⁰."
"N12071","1765","Shakespeare, William,",,,"1564-1616.","The plays","of William Shakespeare, in eight volumes, with the corrections and illustrations of various commentators; to which are added notes by Sam. Johnson.",,"London :","printed for J. and R. Tonson, H. Woodfall, J. Rivington, R. Baldwin, L. Hawes, Clark and Collins, T. Longman, W. Johnston, T. Caslon, C. Corbet, T. Lownds, and the Executors of B. Dodd,","M,DCC,LXV. [1765] ","8v.,plate :","8⁰."
"N12136","1772","Watson, Richard,",,,"1737-1816.","A letter to the members of the Honourable House of Commons; respecting the petition for relief in the matter of subscription. By a Christian Whig.",,"The second edition: to which is now added, a second letter, ..","London :","printed for W. Bowyer and J. Nichols,","1772.","[2],52p. ","8⁰."
"N1230","1727","Fleury, Claude,",,,"1640-1723.","The ecclesiastical history","of M. L'Abbé Fleury, with the chronology of M. Tillemont. Vol. I. Containing the Three First Centuries.",,"London :","printed by T. Wood, for James Crokatt, at the Golden Key, near the Inner-Temple Gate in Fleet-Street,","MDCCXXVII. [1727]-1732.","5v. ","4⁰. "
"N12503","1766","Barrington, Daines,",,,"1727-1800.","Observations upon the statutes,","Chiefly the more Ancient, from Magna Charta to The Twenty-First of James the First, Ch. xxvii. With an Appendix, being A Proposal for new modelling the Statutes.","The second edition, with corrections and additions.","London :","printed by W. Bowyer and J. Nichols, and sold by S. Baker, in York-Street; and W. Sandby, in Fleet-Street,","MDCCLXVI. [1766] ","xii,444,[2]p. ","4⁰."
"N12567","1744","Berkeley, George,",,,"1685-1753.","Philosophical reflexions and inquiries concerning the virtues of tar water,","and divers other subjects connected together and arising one from another. By the Right Rev. Dr. George Berkley, Lord Bishop of Cloyne, And Author of The Minute Philosopher.",,"London :","printed for C. Hitch in Pater-Noster-Row; and C. Davis, against Gray's-Inn, Holbourn,","MDCCXLIV. [1744] ","176p. ","8⁰."
"N12579","1722",,,,,"The philosophical transactions and collections,","to the end of the year 1700. Abridg'd and dispos'd under general heads in three volumes. By John Lowthorp, M. A. and F. R. S. ","The third edition.","London :","printed for J. Knapton, R. Knaplock, R. Wilkin, J. and B. Sprint, D. Midwinter, W. Taylor, W. and J. Innys, R. Robbinson, and J. Osborn,","M.D.CC.XXII. [1722] ","3v.,plates ","4⁰. "
"N12648","1719","Jenkin, Robert,",,,"1656-1727.","Remarks on some books lately publish'd,","viz. Mr. Basnage's History of the Jews. Mr. Whiston's Eight sermons. Mr. Lock's Paraphrase and notes on St. Paul's epistles. Mr. Le Clerc's Bibliotheque choisie.",,"London :","printed by W. B. for Richard Sare, at Grays-Inn-Gate, in Holborn,","1709.","[24],205,[3]p. ","8⁰."
"N12721","1742","Swift, Jonathan,",,,"1667-1745.","Miscellanies, the the [sic] fifth and sixth volumes.","By Dr. Swift and others. With several additional pieces in verse and prose. ... ","The third edition corrected: with several additional pieces in verse and prose. ...","London :","printed for T. Woodward, at the Half-Moon between the Temple Gates; and C. Davis against Grays-Inn Gate, Holborn,","MDCCXLII. [1742] ","2v. ","8⁰. "
"N12722","1745","Swift, Jonathan,",,,"1667-1745.","Miscellanies.","The seventh volume. By Dr. Swift.","The third edition.","London :","printed for C. Davis, against Gray's-Inn Gate, Holborn; and C. Bathurst, opposite St. Dunstan's Church, Fleetstreet,","MDCCXLV. [1745] ","[4],326p. ","8⁰."
"N12723","1745","Swift, Jonathan,",,,"1667-1745.","Miscellanies.","The eighth volume. By Dr. Swift.","The third edition.","London :","printed for C. Davis, against Grays-Inn-Gate, Holborn. and C. Bathurst, opposite St. Dunstan's Church, Fleetstreet,","MDCCXLV. [1745] ","[4],256,247-310p. ","8⁰."
"N12724","1745","Swift, Jonathan,",,,"1667-1745.","Miscellanies.","The ninth volume. By Dr. Swift.","The third edition.","London :","printed for C. Davis, against Grays-Inn Gate, Holborn; and C. Bathurst, opposite St. Dunstan's Church, Fleetstreet,","MDCCXLV. [1745] ","[4],278p. ","8⁰."
"N12727","1742","Swift, Jonathan,",,,"1667-1745.","Miscellanies.","The seventh volume. By Dr. Swift. ","The second edition.","London :","printed for C. Davis, against Grays-Inn Gate, Holborn; and C. Bathurst, opposite St. Dunstan's Church, Fleetstreet,","MDCCXLII. [1742] ","[4],326p. ","8⁰. "
"N12728","1742","Swift, Jonathan,",,,"1667-1745.","Miscellanies.","The Eighth Volume. By Dr. Swift. ","The second edition.","London :","printed for C. Davis against Greys-Inn-Gate, Holborn. and C. Bathurst,","MDCCXLII [1742] ","[4],256,247-310p. ","8⁰. "
"N12957","1740","Wicquefort, Abraham de,",,,"1606-1682.","The rights, privileges, and office of embassadors and publick ministers.","Illustrated with Historical Narrations of the most important Affairs that have been transacted by them through all the Courts of Europe, And A General View of the most celebrated Treaties. To which is added, A Discourse Concerning The Succession in the German Empire; With Remarks on the Golden Bull of Charles IV, which regulated the Number of Electors: And A Short Account of their several Principalities. Correcting the Mistakes of Mons. de Thou, and other the most celebrated Historians. By Mons. de Wicquefort, Privy Counsellor to the Duke of Brunswick and Lunenburg, Zell, &c. Translated into English by Mr. Digby. ","The second edition.","London :","printed for Charles Davis, in Pater-Noster-Row,","MDCCXL. [1740] ","[8],570,[28]p. ","2⁰. "
"N12960","1733","Richardson, William,",,,"1698-1775.","Relative holiness.","A sermon preach'd at the consecration of the parish-church of St. John in Southwark, June 15, 1733. By William Richardson, M.A. ",,"London :","printed for W. Hinchliffe, under the Royal Exchange in Cornhill,","1733. ","[2],22p. ","4⁰. "
"N13022","1728","Private Gentleman.",,,,"Reflections on the principal characters in a late comedy call'd The provok'd husband.","By a private Gentleman. Dedicated to his Mistress. ",,"London :","printed for J. Roberts, at the Oxford-Arms in Warwick-Lane,","MDCCXXVIII. [1728] ","32p. ","8⁰. "
"N13055","1767",,,,,"Rotuli Parliamentorum","Ut Et Petitiones, Et Placita in Parliamento Tempore Edwardi R. I.",,"[London :","s.n.,","1767-77]","6v. ","2⁰."
"N13062","1726","Salmon, N.",,"(Nathaniel),","1675-1742.","Roman stations in Britain,","according to the imperial itinerary, upon the Watling-Street, Ermine-Street, Ikening, or, Via ad Icianos. So far as any of these roads lead through the following counties, Norfolk, Suffolk, Cambridgeshire, Essex, Hertfordshire, Bedfordshire, Middlesex. ",,"London :","printed for J. Roberts at the Oxford-Arms in Warwick-Lane,","1726. ","[8],64p. ","8⁰. "
"N13169","1751","Synge, Edward,",,,"1659-1741.","The rule of self-examination","or, the only way of banishing doubts and scruples, and directing the conscience in the satisfactory practice of all Christian duties. By the most Reverend Dr. Edward Synge, Late Lord Archbishop of Tuam, in Ireland.","A new edition corrected.","London :","printed for Thomas Trye, near Grays-Inn-Gate in Holbourn,","MDCCLI. [1751] ","48p. ","12⁰."
"N13178","1748",,,,,"Remarks on a late pamphlet, intituled, A treatise on the improvements made in the art of criticism.",,,"London :","printed for M. Cooper, at the Globe in Pater-Noster Row,","MDCCXLVIII. [1748] ","[2],29,[1]p. ","8⁰."
"N1320","1763","Cheselden, William,",,,"1688-1752.","The anatomy of the human body.","By W. Cheselden, Surgeon to his Majesty's Royal Hospital at Chelsea Fellow of the Royal Society And Member of The Royal Academy of Surgeons at Paris","The VIIIth. edition with forty copper plates engrav'd by Ger: Vandergucht.","London :","printed for H. Woodfall, R. & J. Dodsley, R. Baldwin, W. Johnston, J. Richardson, S. Crowder & Co. and Hawes, Clarke, & Collins,","1763.","[2],v,[1],334,[16]p.,plates ","8⁰."
"N13219","1769","Pegge, Samuel,",,,"1704-1796.","The Roman roads, Ikenild-Street and Bath-Way,","discovered and investigated through the country of the Coritani, or the county of Derby. By Samuel Pegge, A.M.",,"London :","printed by W. Bowyer and J. Nichols,","1769.","[4],12p. :","4⁰."
"N13317","1754",,,,,"Report from the committee, appointed to examine the book, containing an account of the contributors to the lottery 1753:","and the proceedings of the House thereupon. Published by order of the House of Commons.",,"London :","printed for John Whiston, and Charles Bathurst; and Thomas Trye,","1754.","46p. ","2⁰."
"N13487","1771","Johnson, Samuel,",,,"1709-1784.","The Rambler.","In four volumes. ...","The eighth edition.","London :","printed for W. Bowyer, W. Strahan, J. and F. Rivington, J. Hinton, Hawes, Clarke, and Collins, [and 16 others in London],","1771.","4v. ","12⁰."
"N13629","1711","Castleton, Nathaniel.",,,,"To the Right Honourable the Lord Harley, on the promotion of his father to the nobility. ",,,"London :","printed for Richard Sare,","1711. ","3,[1]p. ","2⁰. "
"N1382","1735","Banks, John,",,,"d. 1706.","The Albion queens:","or, the death of Mary Queen of Scotland. As it is acted at the Theatre-Royal. Written by Mr. Banks. ",,"London :","printed for W. Feales; A. Bettesworth; F. Clay, R. Wellington, and C. Corbett; and J. Brindley,","1735. ","79,[1]p. :","12⁰. "
"N14327","1748","White, John,",,,"ca. 1685-1755.","Three letters to a gentleman dissenting from the Church of England.","By John White, B. D. Sometime Fellow of St. John's College, Cambridge.",,"London :","printed for C. Davis against Gray's Inn, Holbourn, and W. Craighton at Ipswich,","MDCCXLVIII. [1748] ","xxxii;viii,105,[1];viii,75,[1];[2],85,[1]p. ","8⁰."
"N144","1743","Member of the States-General in Holland.",,,,"A letter from a member of the States-General in Holland","to a Member of Parliament in England; by which the saddle is put upon the right horse, and the true origin of the present confusions in Europe plainly demonstrated. ",,"London :","printed for J. Robinson in Ludgatestreet","1743. ","[4],52p. ","8⁰. "
"N14474","1737","Jacob, Hildebrand,",,,"1693-1739.","The unequal match:","a tale. By the author of The curious maid. ","The second edition.","London :","printed for W. Lewis, in Great-Russel-Street, Covent-Garden,","MDCCXXXVII. [1737] ","7,[1]p. ","2⁰. "
"N14578","1716","Dufresnoy, Charles-Alphonse,",,,"1611-1668.","The art of painting:","by C. A. du Fresnoy: with remarks: translated into English, with an original preface, containing a parallel between painting and poetry: by Mr. Dryden. As also a short account of the most eminent painters, both ancient and modern: by R. G. Esq; ","The second edition, corrected, and enlarg'd.","London :","printed for Bernard Lintott, between the Temple Gates, in Fleetstreet,","1716. ","[16],lxviii,[4],397,[7]p.,plate ","8⁰. "
"N14579","1716","Dufresnoy, Charles-Alphonse,",,,"1611-1668.","The art of painting:","by C. A. du Fresnoy: with remarks: translated into English, with an original preface, containing a parallel between painting and poetry: by Mr. Dryden. As also a short account of the most eminent painters, both ancient and modern: by R. G. Esq; ","The second edition, corrected, and enlarg'd.","London :","printed for B. L. [i.e. Bernard Lintott] and sold by William Taylor, at the Ship in Pater-noster-row,","1716. ","[16],lxviii,[4],397,[7]p.,plate ","8⁰. "
"N1467","1735","Jacob, Hildebrand,",,,"1693-1739.","An epistle to a person of quality.","(exposing the vain pursuits of mankind.) By the author of several late epistles. ",,"London :","printed for J. Roberts at the Oxford Arms in Warwick Lane,","MDCCXXXV. [1735] ","10p. ","2⁰. "
"N14841","1746","Kettilby, Mary.",,,,"A collection of above three hundred receipts in cookery, physick and surgery","for the use of all good wives, tender mothers, and careful nurses. By several hands. The sixth edition. To which is added, a second part, containing A great Number of Excellent Receipts, for Preserving and Conserving of Sweet-Meats, &c.",,"London :","printed for the executrix of Mary Kettilby; and sold by W. Parker, at the King's-Head in St. Paul's Church-Yard,","MDCCXLVI. [1746]","272,[4]p. ","8⁰."
"N14874","1739","Whiston, John,",,,"1711-1780.","A catalogue of valuable manuscripts in Greek, Latin, English, French, Italian, and Spanish","Many of them relating to Heraldry, History, the Antiquities and Families of England, with several Missals curiously illuminated. All which were collected at the expence of the late Lord Somers, and since belonged to the Right Hon. Sir Joseph Jekyll Knt. Master of the Rolls, lately deceased. To which are added some choice printed books out of his Library; among which are, Tractatus Tractatuum, 28 vol. Labbaei Concilia, 17 vol. Blaeu's Atlas, curiously illuminated, 12 vol. Janssonius's Atlas, 5 vol. & Theatrum Urbium, 8 vol. Cujacii Opera, 13 vol. Byzantine Historians, 31 vol. compleat. Votes, 13 vol. Gazettes, 17 vol. Baronii Annales, 12 vol. Together with a very large and curious Collection of Miscellaneous Tracts in Latin, French, Italian, English, &c. in above Seven Hundred Volumes, Folio, Quarto, and Octavo. Which will be sold by auction by Order of the Executor at Paul's Coffee-House in St. Paul's Church-Yard, on Monday, February 26, and the Four following Evenings, beginning exactly at Six O'Clock. Catalogues to be had Gratis, at Mr. Stagg's in Westminster-Hall, Mr. Whiston's in Fleetstreet, and at the Place of Sale. N. B. The Books and Mss. may be viewed the Week before the Sale. ",,"[London :","s.n.,","1739] ","[4],26,[2]p. ","8⁰. "
"N15232","1728","Chishull, Edmund,",,,"1671-1733.","Antiquitates Asiaticæ Christianam æram antecedentes","ex primariis monumentis græcis descriptæ, latinè versæ, notisque & commentariis illustratæ. Accedit monumentum latinum ancyranum. Per Edmundum Chishull, S.T.B.",,"Londini :","typis Guil. Bowyer,","1728-[31?]","[12],207,[1],8;[2],12p.,plates :","2⁰."
"N15305","1714","Centlivre, Susanna,",,,"1667?-1723.","The busie body.","A comedy. Written by Mrs. Susanna Centlivre. ","The third edition.","London :","printed for Bernard Lintott,","1714. ","82,[2]p. :","12⁰. "
"N15510","1728",,,,,"The bishop of London's pastoral letter to the people of his diocese; particularly, to those of the two great cities of London and Westminster. Occasion'd by some late writings in favour of infidelity. ",,"The third edition.","London :","printed for Sam. Buckley, in Amen-Corner,","1728. ","[2],54p. ","8⁰. "
"N15511","1728",,,,,"The bishop of London's pastoral letter to the people of his diocese; particularly, to those of the two great cities of London and Westminster. Occasion'd by some late writings in favour of infidelity. ",,"The third edition.","London :","printed for Sam. Buckley, in Amen-Corner,","1728. ","56p. ","8⁰. "
"N15513","1729",,,,,"The bishop of London's pastoral letter to the people of his diocese; particularly, to those of the two great cities of London and Westminster. Occasion'd by some late writings in favour of infidelity. ",,"The fourth edition.","London :","printed for Sam. Buckley, in Amen-Corner,","1729. ","[2],54p. ","8⁰. "
"N15633","1735","Jacob, Hildebrand,",,,"1693-1739.","Brutus the Trojan","founder of the British empire. An epic poem. Written by Hildebrand Jacob, Esq; ",,"London :","printed for William Lewis in Russel-Street, Covent-Garden,","MDCCXXXV. [1735] ","[14],113,[1]p. ","8⁰. "
"N15692","1772","Camden, William,",,,"1551-1623.","Britannia:","or, a chorographical description of Great Britain and Ireland, together with the adjacent islands. Written in Latin by William Camden, Clarenceux King at Arms; and translated into English, with additions and improvements; by Edmund Gibson, D.D. late Lord Bishop of London.","This fourth edition is printed from a copy of 1722, left corrected by the Bishop for the press. ...","London :","printed for W. Bowyer, W. Whiston, T. Davies, W. Strahan, J. and F. Rivington, L. Davis, B. White, L. Hawes and Co. R. Horsfield, W. Johnston, T. Caslon, S. Crowder, T. Longman, W. and J. Richardson, T. Cadell, T. Lowndes, D. Wilson and G. Nicoll, T. Becket, J. Johnson, J. Robson, J. Almon, J. Knox, T. Evans, W. Flexney, W. Cater, M. Hingeston, and P. Elmsly,","M.DCC.LXXII. [1772] ","2v.,plates :","2⁰. "
"N15885","1773",,,,,"The cause of the petitioners examined:","with an answer to a late work, (addressed to the king) intitled, ""The doctrines of a Trinity, and the incarnation of God, examined upon the principles of reason and common sense.""",,"London :","printed for G. Robinson,","1773.","[20],xii,170p. ","8⁰."
"N16150","1746","Prior, Thomas,",,,"1682?-1751.","An authentick narrative of the success of tar-water,","in curing a great number and variety of distempers, with remarks, and occasional papers relative to the subject. ... By Thomas Prior, Esq",,"[London] :","Dublin printed, London re-printed, for W. Innys, C. Hitch, and M. Cooper; and C. Davis,","1746.","4,192p. ","8⁰."
"N16189","1765","Synge, Edward,",,,"1659-1741.","Advice to a young divine, concerning preaching.","By ... Dr. Edward Synge, ...","A new edition.","London :","printed for John Rivington,","1765.","12p. ","12⁰."
"N16212","1716","Aesop.",,,,"Æsopi Phrygis fabulæ,","nunc demùm ex collatione optimorum exemplarium ab infinitis penè mendis repurgatæ: unà cum nonnullis variorum authorum fabulis adjectis. Et indice correctiori præfixo. ",,"Londini :","execudebat Stephanus Gilbert, pro Societate Stationariorum,","1716. ","[16],176p. ","12⁰. "
"N16613","1773",,,,,"The antiquities of Herculaneum; translated from the Italian, by Thomas Martyn, and John Lettice, Bachelors Of Divinity, and Fellows Of Sidney College, Cambridge. Containing the pictures.",,,"London :","printed for S. Leacroft, at the Globe, Charing-Cross,","MDCCLXXIII. [1773]","xi,[1],lxxiii,[1],236,[2]p.,plates :","4⁰."
"N17078","1732","Butler, Samuel,",,,"1612-1680.","Hudibras.","In three parts. Written in the time of the late wars. Corrected and amended: with additions. To which are added annotations, with an exact index to the whole. Adorn'd with a new set of cuts, design'd and engrav'd by Mr. Hogarth. ",,"London :","printed for D. Midwinter and A. Ward, J. Walthoe, J. and J. Knapton, R. Knaplock, B. Sprint, J. Tonson, J. Osborne and T. Longman, A. Bettesworth and C. Hitch, R. Robinson, W. Mears, W. Innys, T. Woodward, F. Clay, D. Browne and J. Poulson,","1732. ","[2],214,197-400,[24]p.,plates :","12⁰. "
"N1722","1711","Castleton, Nathaniel.",,,,"To the Right Honourable Mr. Harley. ",,,"[London :","printed for Richard Sare,","1711] ","3,[1]p. ","2⁰. "
"N17396","1754","Synge, Edward,",,,"1659-1741.","Honesty the best policy:","an essay concerning the true way of rendering a nation happy, and its government firm and lasting. By ... Dr. Edward Synge, ...","A new edition, corrected.","London :","printed for Thomas Trye,","1754.","22,[2]p. ","12⁰."
"N17656","1740","Synge, Edward,",,,"1659-1741.","A help to the devout performance of private prayer.","By the Most Reverend Dr. Edward Synge, Lord Archbishop of Tuam in Ireland; Author of An Answer to all the Excuses and Pretences, which Men usually make for their not coming to the Holy Communion. ","The second edition corrected.","London :","printed for Thomas Trye, near Gray's Inn Gate in Holbourn,","MDCCXL. [1740] ","12p. ","12⁰. "
"N17782","1723","Sparke, Joseph,",,,"1683-1740.","Historiæ coenobii Burgensis scriptores varii,","e codicibus manuscriptis nunc primum editi. ",,"Londini :","typis Gul. Bowyer,","M.DCC.XXIIV [1723] ","[10],256,[14]p. ","2⁰. "
"N17867","1732","La Mottraye, Aubry de,",,,"1674?-1743.","Historical and critical remarks on the History of Charles XII. King of Sweden, by Mr. de Voltaire, design'd as a supplement to that work. In a letter to the author, by Mr. de La Motraye. Translated from the French. ",,"The second edition.","London :","printed for T. Warner, at the Black Boy in Pater-Noster-Row,","MDCCXXXII. [1732] ","96p.,plate :","8⁰. "
